append_id,region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
28,2,13,33,1,9,19,4,0,0,1,2,0,1,0,0,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1,0,0,1,0,0,0,1,1,1.713798,,3.308717,,,2.944439,2,0
29,1,56,37,1,6,36,1,13,0,1,2,0,1,1,0,10.6,0,31.1,18.25,0,582.6,0,1756.35,1005,0,1,0,0,1,0,0,0,0,1,2.360854,,3.437208,2.904165,,3.583519,2,0
30,1,71,53,1,27,155,5,12,0,0,2,1,0,1,1,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,1,1,0,1,0,0,1,1,1,3.044522,4.025352,,3.526361,3.911023,5.043425,4,0
31,1,35,50,1,26,140,2,21,0,1,4,1,0,1,0,6.5,27.5,0,35,0,247.55,1068.25,0,1215,0,0,0,0,0,0,1,1,1,0,1.871802,3.314186,,3.555348,,4.941642,3,0
32,1,11,27,1,8,55,5,0,0,0,3,0,1,0,0,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1,0,0,1,0,0,0,0,0,1.568616,,2.972975,,,4.007333,2,0
33,2,60,46,1,13,163,3,24,0,0,2,1,1,1,1,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840,3125.95,1,1,1,1,0,1,1,1,1,3.523415,3.644144,3.798854,2.621039,4.011868,5.09375,4,0
34,3,20,35,1,11,52,4,0,0,0,2,0,1,0,0,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1,0,0,1,0,0,0,0,1,1.446919,,3.419365,,,3.951244,2,1
35,2,54,60,0,38,211,4,25,0,0,1,1,1,1,1,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785,2895.85,1,1,1,1,1,0,0,1,1,3.05164,3.669951,3.836221,3.993603,4.004602,5.351858,4,0
36,1,44,57,1,1,186,2,17,0,0,2,1,0,1,1,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,1,1,0,0,1,1,1,1,0,2.282382,3.511545,,3.583519,3.729301,5.225747,3,0
37,1,11,41,1,0,39,1,1,0,1,2,1,0,1,0,6.55,29.25,0,19.75,0,67.8,303.65,0,200,0,0,1,0,0,1,1,1,1,0,1.879465,3.37588,,2.983153,,3.663562,3,1
38,2,72,57,0,34,22,2,35,1,1,1,1,0,1,0,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,1,0,0,0,1,1,1,1,0,3.731699,3.89182,,2.931194,,3.091042,3,0
39,3,10,41,0,7,30,1,7,0,0,1,1,0,1,0,2.5,19.25,0,53.75,0,31.25,178.2,0,490,0,0,0,0,0,1,1,1,1,0,0.916291,2.957511,,3.984344,,3.401197,3,0
40,2,15,28,0,0,29,2,4,0,1,1,1,0,1,0,4.25,30,0,17.75,0,78,426.05,0,255,0,0,0,0,0,1,1,1,1,0,1.446919,3.401197,,2.876386,,3.367296,3,0
41,2,27,28,1,4,23,2,8,0,0,5,0,0,0,0,6.2,0,0,0,0,180.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1.824549,,,,,3.135494,1,0
42,1,9,36,1,14,62,4,10,0,0,6,0,1,0,1,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1,1,1,1,0,0,0,1,1,1.731656,,3.844814,,3.881564,4.127134,4,1
43,1,64,43,1,20,76,4,20,0,1,4,1,0,1,0,14.7,18.75,0,11,0,897.05,1279.25,0,680,0,1,0,0,0,1,1,0,1,0,2.687847,2.931194,,2.397895,,4.330733,3,0
44,1,65,41,1,3,74,4,16,0,0,2,0,1,1,0,14.5,0,37,17,0,963.3,0,2263.05,1065,0,1,1,0,1,0,0,0,0,1,2.674149,,3.610918,2.833213,,4.304065,2,0
45,1,49,51,1,27,63,4,19,0,0,5,1,0,1,0,12.85,25.75,0,14.25,0,585.6,1278.45,0,635,0,1,0,0,1,0,1,0,0,1,2.553344,3.248435,,2.656757,,4.143135,2,0
46,3,47,41,1,0,36,4,8,0,0,2,0,1,1,1,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,1,0,1,1,0,1,0,1,1,2.047693,,3.623007,2.917771,3.65842,3.583519,4,1
47,3,9,34,1,9,33,2,8,0,1,4,0,1,0,0,2.95,0,22.95,0,0,18.9,0,208.55,0,0,0,0,0,0,0,0,0,0,0,1.081805,,3.133318,,,3.496508,1,1
48,1,5,36,0,14,29,2,9,0,1,1,1,0,1,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,0,0,0,1,1,1,1,1,1,1.178655,3.449988,,2.74084,3.286534,3.367296,3,1
49,2,30,34,1,4,27,2,1,0,0,5,0,1,0,0,6.3,0,22.5,0,0,150.9,0,690.75,0,0,0,0,0,1,0,0,0,0,0,1.84055,,3.113515,,,3.295837,1,1
50,1,56,52,1,28,49,2,12,0,0,4,0,0,1,0,24.75,0,0,22.25,0,1349.05,0,0,1215,0,1,0,0,0,0,0,0,0,0,3.208825,,,3.102342,,3.89182,2,0
51,3,10,22,0,0,24,4,0,0,0,1,1,1,1,1,7.8,23.75,37.25,22.5,30.05,63,222.55,330.4,185,306.3,1,1,1,1,1,1,1,1,1,2.054124,3.167583,3.617652,3.113515,3.402863,3.178054,4,0
52,1,7,26,1,3,26,2,2,0,0,5,1,0,0,0,4.85,15.5,0,0,0,33.7,136.55,0,0,0,0,0,0,0,0,1,0,0,0,1.578979,2.74084,,,,3.258097,1,0
53,1,52,27,0,6,47,3,5,0,0,2,1,0,1,0,6.25,18.5,0,14.25,0,330.4,942.65,0,725,0,0,0,0,0,1,0,0,0,1,1.832581,2.917771,,2.656757,,3.850148,1,0
54,2,36,45,1,1,94,2,18,0,1,5,1,1,0,0,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,0,0,1,1,1,0,0,1,0,1.974081,2.75684,3.344627,,,4.543295,1,1
55,3,27,34,0,8,21,3,4,0,1,1,0,0,0,0,7.65,0,0,0,0,213.45,0,0,0,0,1,0,0,0,0,0,0,0,0,2.034706,,,,,3.044522,2,0
56,1,58,62,1,36,27,1,0,0,0,2,0,0,1,0,15.5,0,0,34.5,0,967.1,0,0,1910,0,0,0,0,0,0,0,0,0,0,2.74084,,,3.540959,,3.295837,1,0
57,2,41,52,0,27,30,2,2,0,1,1,1,0,1,1,10.4,28,0,19,27.5,447.85,1152,0,800,1036.65,0,0,0,0,1,1,1,1,0,2.341806,3.332205,,2.944439,3.314186,3.401197,3,0
58,2,47,40,1,16,127,4,12,0,1,4,0,1,1,0,19.7,0,28.15,14.75,0,909.9,0,1319.7,680,0,1,0,0,1,0,0,0,0,1,2.980619,,3.337547,2.691243,,4.844187,2,0
59,2,55,39,1,15,137,2,20,0,1,2,1,0,1,0,12.7,27.5,0,11.5,0,676.9,1505.2,0,620,0,0,1,0,0,1,1,1,1,0,2.541602,3.314186,,2.442347,,4.919981,3,1
60,2,56,50,1,1,80,2,24,0,1,4,1,0,1,1,28.8,55.5,0,21.25,61.1,1558.1,3119.45,0,1065,3268.05,1,1,1,0,1,1,1,1,0,3.360375,4.016383,,3.056357,4.112512,4.382027,4,0
61,3,35,55,0,24,30,2,2,0,0,1,0,0,1,0,10.25,0,0,15.75,0,395.85,0,0,550,0,0,0,0,0,0,0,0,0,0,2.327278,,,2.75684,,3.401197,1,0
62,2,69,51,1,11,438,4,23,0,1,2,0,1,1,0,29,0,47.05,24.75,0,1815.4,0,3064.15,1655,0,1,0,1,1,1,0,0,1,0,3.367296,,3.851211,3.208825,,6.082219,4,0
63,2,44,39,0,16,79,2,16,0,0,1,1,1,1,1,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110,1280,1,0,1,1,1,1,1,1,1,2.72458,3.198673,3.623007,3.305054,3.402863,4.369448,4,1
64,3,36,47,1,16,63,1,23,0,0,2,0,0,1,0,9.05,0,0,6.75,0,373.65,0,0,220,0,0,0,0,0,0,0,0,0,0,2.202765,,,1.909543,,4.143135,1,0
65,3,28,51,1,22,40,3,10,0,1,6,1,0,0,0,8.95,21.25,0,0,0,253.55,586.95,0,0,0,0,0,0,0,1,1,1,1,0,2.191654,3.056357,,,,3.688879,3,0
66,1,72,67,1,44,51,1,34,1,0,2,1,0,1,0,57.05,51.5,0,19.25,0,4168.25,3657.9,0,1345,0,1,0,0,0,1,1,1,1,0,4.043928,3.941582,,2.957511,,3.931826,3,0
67,1,16,27,0,5,37,3,5,0,0,4,0,0,0,0,6,0,0,0,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791759,,,,,3.610918,1,0
68,3,3,43,0,19,61,4,11,0,1,1,0,1,1,1,3.15,0,27.25,16.25,17.95,7.9,0,53.25,20,38.2,0,0,0,1,1,0,0,1,1,1.147402,,3.305054,2.788093,2.88759,4.110874,1,1
69,1,40,57,1,15,22,2,9,0,0,2,0,0,1,0,8.55,0,0,19.75,0,381.5,0,0,710,0,0,0,0,0,0,0,0,0,0,2.145931,,,2.983153,,3.091042,1,0
70,3,16,39,0,6,44,4,3,0,1,1,0,1,0,0,6.6,0,23.3,0,0,96.3,0,350.15,0,0,1,0,0,1,0,0,0,0,1,1.88707,,3.148453,,,3.78419,2,0
71,1,20,42,0,4,17,3,5,0,0,1,0,0,0,0,7.8,0,0,0,0,175.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054124,,,,,2.833213,1,0
72,2,48,43,0,13,110,5,15,0,1,3,0,1,0,1,7.25,0,33.5,0,20.65,359.35,0,1572.7,0,1010.4,1,1,0,1,0,0,0,0,1,1.981001,,3.511545,,3.027715,4.70048,2,0
73,2,64,48,1,13,91,2,24,0,0,2,1,0,1,1,24.5,24.75,0,12.5,29.65,1531.9,1569.25,0,780,1875.95,1,0,0,0,1,1,1,1,0,3.198673,3.208825,,2.525729,3.389462,4.51086,3,0
74,1,8,46,0,3,46,2,8,0,0,1,0,1,0,0,3.15,0,25.05,0,0,16.65,0,172.05,0,0,0,0,1,1,0,0,0,0,1,1.147402,,3.220874,,,3.828641,1,0
75,1,40,38,1,10,85,3,12,0,0,2,0,0,0,0,10.6,0,0,0,0,384.8,0,0,0,0,0,0,0,0,1,1,1,1,0,2.360854,,,,,4.442651,3,1
76,2,38,71,0,27,10,2,12,1,0,1,0,0,0,0,11.2,0,0,0,0,429.85,0,0,0,0,0,0,0,0,0,0,0,1,0,2.415914,,,,,2.302585,1,0
77,1,67,68,0,28,244,1,47,0,1,1,1,0,1,0,30.25,30.25,0,30.75,0,2186.2,2036.15,0,2105,0,0,1,0,0,1,1,1,1,0,3.409496,3.409496,,3.42589,,5.497168,3,0
78,1,26,42,0,0,80,4,15,0,1,1,1,1,1,1,7.85,44,49.6,10.5,43.75,196.65,1123.25,1159.35,250,1176.55,1,1,1,1,1,1,1,1,1,2.060514,3.78419,3.903991,2.351375,3.778492,4.382027,4,0
79,3,41,34,1,15,83,5,1,0,1,2,1,0,1,0,8.9,33.75,0,5.75,0,379.55,1404.45,0,220,0,1,1,1,1,1,1,1,1,0,2.186051,3.51898,,1.7492,,4.418841,4,0
80,2,2,31,0,2,21,1,6,0,0,1,0,1,0,0,1.65,0,21.6,0,0,3.2,0,17.25,0,0,0,0,0,0,0,0,0,1,0,0.500775,,3.072693,,,3.044522,1,1
81,3,20,48,1,29,24,2,3,0,0,2,1,0,1,0,11.85,22.5,0,35,0,230.7,452.75,0,675,0,1,1,1,0,1,1,1,1,0,2.472328,3.113515,,3.555348,,3.178054,4,1
82,2,31,53,0,2,351,3,31,0,1,1,1,0,1,0,5.5,31.5,0,19.25,0,185.3,1009.9,0,585,0,0,0,1,0,1,1,1,1,0,1.704748,3.449988,,2.957511,,5.860786,3,0
83,2,45,52,1,4,169,4,29,0,1,4,0,1,1,0,14.65,0,40.45,14.25,0,618.15,0,1820.4,690,0,1,0,0,1,0,0,0,0,0,2.68444,,3.700067,2.656757,,5.129899,2,0
84,2,33,27,1,7,46,2,7,0,0,4,0,1,0,0,7.25,0,29.15,0,0,243.35,0,923.85,0,0,0,0,0,0,0,0,0,0,1,1.981001,,3.372455,,,3.828641,1,0
85,1,10,26,0,6,34,3,3,0,0,1,0,1,0,0,4.85,0,27.7,0,0,41.85,0,223.05,0,0,1,0,0,0,0,0,0,0,0,1.578979,,3.321432,,,3.526361,2,0
86,2,62,54,1,2,50,4,3,0,0,2,0,1,1,1,17.25,0,48,87.5,33.25,1067.8,0,2864.15,5455,2022.55,1,1,1,1,1,0,1,0,1,2.847812,,3.871201,4.471639,3.504055,3.912023,4,1
87,2,4,35,0,16,161,5,6,0,1,1,1,1,0,1,3.4,23.75,49.8,0,35.75,10.35,103.1,126.95,0,135.25,0,1,1,1,1,1,1,1,1,1.223775,3.167583,3.908015,,3.57655,5.081404,4,1
88,1,42,47,1,17,212,4,17,0,0,2,1,0,1,0,7.45,26.75,0,24.75,0,320.9,1163.55,0,1035,0,0,0,0,0,1,1,1,0,0,2.008214,3.286534,,3.208825,,5.356586,3,0
89,3,27,51,1,3,80,5,11,0,0,3,0,1,0,0,7.1,0,39.4,0,0,176.2,0,1086.65,0,0,1,0,1,1,0,0,0,0,1,1.960095,,3.673766,,,4.382027,2,0
90,2,38,42,0,1,30,4,7,0,1,1,1,0,0,0,13.2,27.5,0,0,0,495.85,1087.9,0,0,0,0,0,0,0,0,1,0,0,0,2.580217,3.314186,,,,3.401197,1,0
91,3,52,61,1,3,53,5,1,0,1,2,0,1,1,1,12.25,0,38.4,8.75,35.95,631.7,0,1884.1,465,1971.35,1,1,0,1,0,0,0,1,1,2.505526,,3.648057,2.169054,3.582129,3.970292,2,0
92,3,35,33,0,9,73,5,4,0,1,1,1,0,1,1,5.85,38.25,0,22.25,40.35,216.6,1337.6,0,700,1423.8,1,1,1,1,1,1,1,1,1,1.766442,3.644144,,3.102342,3.697591,4.290459,4,0
93,3,3,20,1,1,17,2,0,0,1,4,0,0,0,0,3.75,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1.321756,,,,,2.833213,1,1
94,2,17,33,0,9,23,5,3,0,0,1,0,1,1,1,10.2,0,36.4,14.5,30.9,196.3,0,570.9,220,529.25,1,1,0,1,1,1,0,0,1,2.322388,,3.594569,2.674149,3.430756,3.135494,4,1
95,1,55,53,1,21,34,1,8,0,0,2,0,0,0,0,5.7,0,0,0,0,304.4,0,0,0,0,0,0,0,0,0,1,1,1,0,1.740466,,,,,3.526361,3,0
96,3,43,36,1,5,107,1,19,0,1,3,1,0,1,0,11.55,12.75,0,21.5,0,491.55,583.75,0,910,0,1,0,0,0,0,0,0,0,0,2.446685,2.545531,,3.068053,,4.672829,2,1
97,2,47,25,1,5,21,1,1,0,1,2,1,0,1,0,8.65,30.5,0,9,0,426.6,1465.45,0,405,0,0,0,0,0,0,1,1,1,0,2.157559,3.417727,,2.197225,,3.044522,3,1
98,3,65,58,0,30,83,2,16,0,1,1,0,0,1,0,19.3,0,0,22.75,0,1323.2,0,0,1370,0,1,0,0,0,0,1,0,0,0,2.960105,,,3.124565,,4.418841,2,0
99,1,13,20,0,1,17,3,0,0,0,5,0,1,1,0,3.05,0,31.3,14,0,40.3,0,390.6,155,0,1,0,0,1,1,1,1,1,1,1.115142,,3.443618,2.639057,,2.833213,4,0
100,3,64,25,1,4,76,3,2,0,1,6,0,1,1,0,24.05,0,35.4,21.25,0,1536.55,0,2288.45,1400,0,1,0,0,0,1,0,1,1,1,3.180135,,3.566712,3.056357,,4.330733,3,0
101,2,12,24,0,2,19,1,0,0,0,1,1,0,1,0,4,24.75,0,27.25,0,46,299,0,295,0,0,0,0,0,1,1,1,1,0,1.386294,3.208825,,3.305054,,2.944439,3,1
102,1,29,32,1,0,49,4,3,0,1,3,0,1,0,0,6.7,0,33,0,0,187,0,918.25,0,0,1,0,1,1,0,0,0,0,1,1.902108,,3.496508,,,3.89182,2,1
103,2,23,47,0,21,173,3,22,0,1,1,0,0,0,0,7.6,0,0,0,0,145.9,0,0,0,0,1,0,0,0,1,0,0,1,1,2.028148,,,,,5.153292,2,0
104,2,14,35,0,4,47,3,10,0,1,1,1,0,0,1,5,21.75,0,0,24.15,76.2,318.2,0,0,274,1,0,0,0,0,0,1,1,1,1.609438,3.079614,,,3.184284,3.850148,2,1
105,1,35,61,0,23,41,2,11,0,0,1,0,0,1,0,9.6,0,0,9.5,0,353.55,0,0,295,0,0,0,0,0,0,0,0,0,0,2.261763,,,2.251292,,3.713572,1,0
106,3,26,39,0,8,105,3,13,0,1,1,1,0,1,1,6.6,39.75,0,37.25,38.25,159.7,1022.45,0,1005,885.1,1,1,1,0,1,1,1,1,1,1.88707,3.68261,,3.617652,3.644144,4.65396,4,0
107,1,13,54,0,2,31,4,2,0,0,1,0,0,0,0,5.85,0,0,0,0,97,0,0,0,0,0,1,0,1,0,0,0,0,1,1.766442,,,,,3.433987,1,0
108,2,69,40,1,13,41,2,17,0,0,3,0,0,1,0,25.25,0,0,33,0,1725.1,0,0,2320,0,1,0,0,0,0,0,0,0,0,3.228826,,,3.496508,,3.713572,2,0
109,3,61,50,1,30,102,4,9,0,1,3,0,0,1,0,12.6,0,0,12.5,0,760.3,0,0,745,0,1,0,0,1,0,0,0,0,1,2.533697,,,2.525729,,4.624973,2,0
110,2,45,22,1,2,36,4,0,0,1,5,1,1,0,0,9.95,14.75,26.15,0,0,412.1,663.1,1180.5,0,0,1,0,0,0,0,0,0,0,0,2.297573,2.691243,3.263849,,,3.583519,2,1
111,2,3,37,0,13,24,1,3,0,1,1,0,0,0,0,2,0,0,0,0,3.05,0,0,0,0,0,1,0,0,0,0,0,1,1,0.693147,,,,,3.178054,1,0
112,2,53,22,0,1,25,4,0,0,0,2,0,1,1,0,12.05,0,27.15,6.5,0,666,0,1469.25,335,0,1,0,0,1,0,0,0,0,1,2.489065,,3.301377,1.871802,,3.218876,2,0
113,1,59,42,0,1,68,2,21,0,1,1,1,0,1,0,17.3,21.25,0,19.25,0,997.85,1183.55,0,1160,0,1,0,0,0,1,1,1,1,0,2.850707,3.056357,,2.957511,,4.219508,3,0
114,1,13,34,0,11,20,3,0,0,1,1,0,0,0,0,4.8,0,0,0,0,71.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1.568616,,,,,2.995732,1,0
115,3,31,31,0,4,48,1,15,0,0,1,0,0,0,0,3.8,0,0,0,0,127.7,0,0,0,0,0,0,0,0,0,1,1,1,0,1.335001,,,,,3.871201,3,0
116,1,40,29,1,6,40,2,8,0,1,5,0,0,0,0,13,0,0,0,0,502.95,0,0,0,0,0,0,0,0,0,1,1,1,0,2.564949,,,,,3.688879,3,0
117,1,48,55,0,15,79,1,25,0,0,1,0,0,1,0,13.8,0,0,25.5,0,668.65,0,0,1140,0,0,0,0,0,1,1,1,1,0,2.624669,,,3.238678,,4.369448,3,0
118,3,3,31,0,1,28,1,0,0,0,1,1,1,1,0,3.45,15.5,23.3,23.5,0,13.3,48.75,62.95,45,0,0,0,0,1,0,0,1,0,0,1.238374,2.74084,3.148453,3.157,,3.332205,1,1
119,2,51,48,0,12,64,2,22,0,1,1,0,0,1,0,14.8,0,0,17,0,708.45,0,0,820,0,0,0,0,0,0,0,0,0,0,2.694627,,,2.833213,,4.158883,1,0
120,3,33,41,0,15,37,2,11,0,0,1,0,0,0,0,12.2,0,0,0,0,415.05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501436,,,,,3.610918,1,0
121,3,14,47,1,7,48,1,13,0,0,2,1,0,0,0,4.25,11,0,0,0,55.5,126.45,0,0,0,0,0,0,0,0,0,0,1,0,1.446919,2.397895,,,,3.871201,1,0
122,1,17,42,1,6,131,5,6,0,0,3,0,1,0,1,5.8,0,35.35,0,21.65,103.1,0,527.8,0,331.4,1,0,0,1,0,0,0,0,1,1.757858,,3.565298,,3.075005,4.875197,2,1
123,3,19,29,1,9,18,2,2,0,0,3,0,0,0,0,5.4,0,0,0,0,108.5,0,0,0,0,0,0,0,1,0,0,1,0,1,1.686399,,,,,2.890372,1,1
124,2,58,36,0,10,38,2,14,0,1,1,0,0,1,0,10.15,0,0,17.75,0,538.65,0,0,1030,0,1,0,0,0,0,0,0,0,0,2.317474,,,2.876386,,3.637586,2,0
125,3,22,23,0,3,37,2,4,0,1,3,0,1,1,1,5.35,0,28.1,9,24.7,144.05,0,602.2,200,503.5,0,1,0,1,1,0,0,1,1,1.677097,,3.33577,2.197225,3.206803,3.610918,4,0
126,2,29,31,1,1,60,4,6,0,0,5,0,1,0,0,9.6,0,26.75,0,0,243.9,0,730.8,0,0,1,0,0,1,0,0,0,0,1,2.261763,,3.286534,,,4.094345,2,1
127,3,14,22,1,2,13,3,0,0,1,4,0,1,0,0,9.45,0,26.85,0,0,117.55,0,364.1,0,0,1,0,0,1,0,0,0,0,0,2.246015,,3.290266,,,2.564949,2,1
128,2,70,64,1,18,98,1,31,0,1,2,1,0,1,1,26.15,84,0,11.25,45.45,1805.1,5850.25,0,720,3243.25,1,1,1,0,1,1,1,1,0,3.263849,4.430817,,2.420368,3.816613,4.584967,4,0
129,1,62,52,1,2,195,1,23,0,0,2,1,0,1,1,23.15,36.75,0,36,34.3,1420.95,2308.25,0,2205,2082.8,1,0,0,0,0,0,1,1,0,3.141995,3.604138,,3.583519,3.535145,5.273,3,1
130,2,7,35,1,0,47,1,14,0,0,5,0,0,0,0,5.2,0,0,0,0,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.648659,,,,,3.850148,1,1
